Type,Original_Term_Pinyin,Original_Term_CN,Translated_Term_VI,Alternative_Translations,Translation_Rule,Context_Usage,Frequency,Notes
Character,Liú Chángxǐ,刘长喜,Lưu Trường Hỉ,Trường Hỉ,transliterate,Lưu Trường Hỉ: Tên đầy đủ. Trường Hỉ: Tên gọi thân mật.,Low,Công nhân trẻ trong mỏ than của Viêm Hoàn Sơn, sau này mở quán饺子.
Character,Xú Fú,徐福,Từ Phúc,,transliterate,Tên đầy đủ, nhân vật lịch sử.,Low,Nhân vật lịch sử được nhắc đến trong phần dẫn truyện, người đã đi tìm thuốc trường sinh.
Place,Nán Bā Lǎo Lín,南巴老林,Nam Ba Lão Lâm,,transliterate,Tên địa danh lịch sử.,High,"Khu rừng nguyên sinh rộng lớn ở Thiểm Nam, nơi ""Triền đầu quân"" bí mật tiến vào."
Place,Xìngbàzi Xiāng,兴坝子乡,Hưng Bá Tử Hương,,transliterate,Tên một xã.,High,Địa điểm chính của các sự kiện đầu truyện, nơi có ngôi miếu hoang và cánh đồng ngô.
Place,Bǎnyá Cūn,板牙村,Bản Nha Thôn,,transliterate,Tên một ngôi làng.,Medium,Ngôi làng kỳ lạ nơi Viêm Thác bị tấn công, là một trong các據điểm của nhóm Tưởng Bách Xuyên.
Place,Lǎo Niútóu Gǎng,老牛头岗,Lão Ngưu Đầu Cương,,transliterate,Tên một ngọn đồi/khu vực.,Medium,Nơi Viêm Hoàn Sơn mở mỏ than và là nơi bắt đầu của mọi bi kịch.
Place,Yóu Táng Xiàn,由唐县,Do Đường Huyện,,transliterate,Tên một huyện ở Thiểm Nam.,Medium,Huyện nơi có Lão Ngưu Đầu Cương.
Place,Shíhé Xiàn,石河县,Thạch Hà Huyện,,transliterate,Tên một huyện.,Medium,Huyện nơi có xã Hưng Bá Tử.
Place,Hēibái Jiàn,黑白涧,Hắc Bạch Giản,,translate_meaning,"Ranh giới giữa thế giới của ""địa kiêu"" (âm) và thế giới con người (dương).",Low,"Nơi được cho là quê hương của địa kiêu, một không gian dưới lòng đất."
Creature,Dì Xiāo,地枭,Địa Kiêu,Kiêu; Quái vật,translate_meaning,"Địa Kiêu: Thuật ngữ chính. Kiêu: Cách gọi tắt.",High,"Một sinh vật sống dưới lòng đất, có khả năng tái sinh mạnh mẽ, là trung tâm của câu chuyện."
Creature,Mǎ Hānzi,马憨子,Mã Gàn Tử,,hybrid,"Người đàn ông khờ khạo ở thôn Bản Nha, luôn tưởng tượng mình đang chiến đấu chống ""quỷ tử"".",Low,"Một người dân làng bị khờ, đóng vai trò như người lính gác cho thôn Bản Nha."
Concept,Qīng Rǎng,青壤,Thanh Nhưỡng,,translate_meaning,Đất màu xanh đen.,Medium,"Loại đất đặc biệt mà từ đó ""địa kiêu"" có thể sinh ra."
Concept,Chántóu Jūn,缠头军,Triền Đầu Quân,,translate_meaning,"Quân đội quấn khăn đen trên đầu, được Tần Thủy Hoàng cử đi tìm địa kiêu.",Medium,Tổ tiên của nhóm ""Ba Sơn thợ săn"" của Tưởng Bách Xuyên.
Concept,Xuè Náng,血囊,Huyết Nang,Túi máu; Thuốc,translate_meaning,"Huyết Nang: Thuật ngữ chính. ""Túi máu"" hoặc ""thuốc"": Cách giải thích nghĩa.",Medium,"Nguồn dinh dưỡng/thuốc để địa kiêu có thể biến đổi và duy trì hình dạng con người."
Concept,Nǚwā Ròu,女娲肉,Nữ Oa Nhục,,translate_meaning,"Một loại đất đặc biệt có khả năng giúp địa kiêu biến đổi, được cho là thịt của Nữ Oa hóa thành.",Low,Loại đất cần thiết cho quá trình ""thoát căn"" của địa kiêu.
Concept,Tuō Gēn,脱根,Thoát Căn,,translate_meaning,"Quá trình địa kiêu hấp thụ ""huyết nang"" để biến đổi hoàn toàn thành hình người và có thể sống dưới ánh mặt trời.",Low,"Một nghi thức/quá trình quan trọng của địa kiêu."
Concept,Chàngguǐ,伥鬼,Trá quỷ,,translate_meaning,Người bị địa kiêu điều khiển, phản bội đồng loại để giúp đỡ địa kiêu.,Low,"Chỉ những người như Viêm Hoàn Sơn, bị địa kiêu kiểm soát và lợi dụng."
Organization,Gǒu Jiārén,狗家人,Cẩu Gia Nhân,,translate_meaning,"Gia tộc có khứu giác đặc biệt, có thể ngửi thấy mùi của địa kiêu.",Medium,"Một trong ba nhánh của ""Ba Sơn thợ săn"", chuyên về trinh sát, do Hình Thâm đại diện."
Organization,Dāo Jiā,刀家,Đao Gia,,translate_meaning,"Gia tộc chuyên sử dụng đao pháp để săn và giết địa kiêu.",Medium,"Một trong ba nhánh của ""Ba Sơn thợ săn"", chuyên về chiến đấu, do Nhiếp Cửu La đại diện."
Organization,Biān Jiā,鞭家,鞭家,Tiên Gia,,translate_meaning,"Gia tộc chuyên sử dụng roi (tiên) để thuần hóa, huấn luyện địa kiêu hoặc các sinh vật bị địa kiêu làm biến dị.",Medium,"Một trong ba nhánh của ""Ba Sơn thợ săn"", chuyên về thuần hóa, do Dư Dung đại diện."
Title,Fēng Dāo,疯刀,Phong Đao,Nhiếp Nhị,translate_meaning,"Danh hiệu dành cho người giỏi nhất của ""Đao gia"".",Medium,Biệt danh của Nhiếp Cửu La trong giới.
Title,Kuáng Quǎn,狂犬,Cuồng Khuyển,,translate_meaning,"Danh hiệu dành cho người giỏi nhất của ""Cẩu gia nhân"".",Medium,Biệt danh của Hình Thâm.
Title,Guǐ Shǒu,鬼手,Quỷ Thủ,,translate_meaning,"Danh hiệu dành cho người giỏi nhất của ""Tiên gia"".",Medium,Biệt danh của Dư Dung.
Item,Shēngsǐ Dāo,生死刀,Sinh Tử Đao,,translate_meaning,"Con dao đặc biệt của ""Đao gia"", có hai lưỡi ""sinh"" và ""tử"", dùng để săn và giết địa kiêu.",Low,"Vũ khí đặc trưng của Nhiếp Cửu La, được thừa hưởng từ mẹ."
